"JournalKey","PreparerKey","Source","Date"
160,3527,"Source 5","2018-01-23T05:00:00.000Z"
161,11525,"Source 3","2019-06-11T05:00:00.000Z"
162,92,"Source 2","2020-10-25T05:00:00.000Z"
163,5205,"Source 1","2020-07-07T05:00:00.000Z"
164,5480,"Source 5","2020-11-21T05:00:00.000Z"
165,3609,"Source 4","2018-03-17T05:00:00.000Z"
166,6290,"Source 5","2020-04-05T05:00:00.000Z"
167,3870,"Source 4","2019-06-19T05:00:00.000Z"
168,3205,"Source 5","2018-04-06T05:00:00.000Z"
169,9561,"Source 4","2019-07-08T05:00:00.000Z"
170,10343,"Source 4","2018-08-03T05:00:00.000Z"
171,2379,"Source 2","2020-12-28T05:00:00.000Z"
172,8285,"Source 5","2018-08-29T05:00:00.000Z"
173,8733,"Source 5","2020-02-13T05:00:00.000Z"
174,7341,"Source 3","2019-08-14T05:00:00.000Z"
175,11842,"Source 2","2020-10-07T05:00:00.000Z"
176,2983,"Source 4","2019-02-05T05:00:00.000Z"
177,10734,"Source 2","2020-05-04T05:00:00.000Z"
178,4691,"Source 5","2019-08-31T05:00:00.000Z"
179,11343,"Source 2","2020-12-25T05:00:00.000Z"
180,11657,"Source 2","2019-10-16T05:00:00.000Z"
181,1893,"Source 3","2019-04-05T05:00:00.000Z"
182,5664,"Source 5","2020-01-11T05:00:00.000Z"
183,9565,"Source 4","2018-12-16T05:00:00.000Z"
184,1665,"Source 1","2018-09-15T05:00:00.000Z"
185,2302,"Source 4","2018-05-19T05:00:00.000Z"
186,458,"Source 5","2018-07-07T05:00:00.000Z"
187,628,"Source 4","2019-11-13T05:00:00.000Z"
188,3393,"Source 2","2020-09-03T05:00:00.000Z"
189,5067,"Source 2","2018-01-07T05:00:00.000Z"
190,4716,"Source 3","2019-11-01T05:00:00.000Z"
191,6246,"Source 2","2020-11-29T05:00:00.000Z"
192,9529,"Source 2","2019-10-20T05:00:00.000Z"
193,7093,"Source 5","2019-06-16T05:00:00.000Z"
194,760,"Source 3","2020-11-30T05:00:00.000Z"
195,6273,"Source 2","2019-01-06T05:00:00.000Z"
196,9678,"Source 3","2018-07-29T05:00:00.000Z"
197,7220,"Source 1","2019-03-22T05:00:00.000Z"
198,3797,"Source 2","2020-12-05T05:00:00.000Z"
199,1922,"Source 2","2020-10-01T05:00:00.000Z"
200,8224,"Source 4","2018-08-13T05:00:00.000Z"
201,7853,"Source 3","2019-11-14T05:00:00.000Z"
202,569,"Source 2","2018-07-31T05:00:00.000Z"
203,3196,"Source 3","2019-08-29T05:00:00.000Z"
204,144,"Source 1","2020-06-22T05:00:00.000Z"
205,4666,"Source 1","2018-05-22T05:00:00.000Z"
206,4033,"Source 5","2019-01-31T05:00:00.000Z"
207,3465,"Source 3","2019-02-05T05:00:00.000Z"
208,7703,"Source 2","2019-10-23T05:00:00.000Z"
209,10139,"Source 5","2020-07-28T05:00:00.000Z"
210,102,"Source 1","2020-09-13T05:00:00.000Z"
211,8967,"Source 2","2019-12-14T05:00:00.000Z"
212,4683,"Source 3","2019-04-05T05:00:00.000Z"
213,4083,"Source 2","2020-02-18T05:00:00.000Z"
214,10458,"Source 4","2020-05-26T05:00:00.000Z"
215,3271,"Source 2","2020-03-08T05:00:00.000Z"
216,3889,"Source 2","2018-02-09T05:00:00.000Z"
217,1526,"Source 2","2020-09-12T05:00:00.000Z"
218,6291,"Source 2","2018-07-21T05:00:00.000Z"
219,5590,"Source 4","2020-11-11T05:00:00.000Z"
220,5006,"Source 4","2020-04-18T05:00:00.000Z"
221,11121,"Source 4","2018-03-14T05:00:00.000Z"
222,2919,"Source 2","2019-08-15T05:00:00.000Z"
223,10205,"Source 2","2020-09-17T05:00:00.000Z"
224,2078,"Source 3","2018-01-09T05:00:00.000Z"
225,8872,"Source 5","2019-03-09T05:00:00.000Z"
226,9525,"Source 2","2018-07-13T05:00:00.000Z"
227,10528,"Source 3","2019-03-25T05:00:00.000Z"
228,7430,"Source 4","2020-01-21T05:00:00.000Z"
229,6974,"Source 4","2018-04-19T05:00:00.000Z"
230,2344,"Source 5","2019-12-30T05:00:00.000Z"
231,11347,"Source 1","2020-08-31T05:00:00.000Z"
232,216,"Source 1","2018-08-23T05:00:00.000Z"
233,7951,"Source 1","2020-12-06T05:00:00.000Z"
234,9199,"Source 5","2018-07-23T05:00:00.000Z"
235,8888,"Source 5","2018-04-06T05:00:00.000Z"
236,11322,"Source 3","2020-04-22T05:00:00.000Z"
237,9847,"Source 5","2020-06-25T05:00:00.000Z"
238,4180,"Source 2","2019-10-17T05:00:00.000Z"
239,438,"Source 2","2019-07-09T05:00:00.000Z"
240,6388,"Source 4","2019-04-16T05:00:00.000Z"
241,10330,"Source 4","2019-02-18T05:00:00.000Z"
242,6086,"Source 2","2020-04-28T05:00:00.000Z"
243,10837,"Source 4","2020-01-06T05:00:00.000Z"
244,6769,"Source 5","2020-10-08T05:00:00.000Z"
245,4824,"Source 4","2018-12-15T05:00:00.000Z"
246,7656,"Source 4","2018-06-21T05:00:00.000Z"
247,1290,"Source 4","2020-03-01T05:00:00.000Z"
248,2865,"Source 1","2020-05-02T05:00:00.000Z"
249,8707,"Source 4","2018-03-22T05:00:00.000Z"
250,2832,"Source 5","2018-07-21T05:00:00.000Z"
251,2579,"Source 3","2020-07-29T05:00:00.000Z"
252,5103,"Source 4","2018-06-09T05:00:00.000Z"
253,6618,"Source 1","2019-03-08T05:00:00.000Z"
254,11325,"Source 1","2018-05-01T05:00:00.000Z"
255,279,"Source 3","2018-12-15T05:00:00.000Z"
256,4610,"Source 2","2019-08-09T05:00:00.000Z"
257,11133,"Source 5","2020-01-01T05:00:00.000Z"
258,11181,"Source 2","2018-05-09T05:00:00.000Z"
259,3501,"Source 2","2020-03-14T05:00:00.000Z"
260,4392,"Source 3","2020-09-06T05:00:00.000Z"
261,2109,"Source 4","2020-09-13T05:00:00.000Z"
262,4142,"Source 5","2018-02-18T05:00:00.000Z"
263,11588,"Source 4","2020-10-11T05:00:00.000Z"
264,7282,"Source 4","2019-01-19T05:00:00.000Z"
265,9196,"Source 4","2018-03-25T05:00:00.000Z"
266,9379,"Source 1","2018-05-18T05:00:00.000Z"
267,5930,"Source 2","2019-04-04T05:00:00.000Z"
268,10429,"Source 2","2020-01-05T05:00:00.000Z"
269,8724,"Source 3","2020-03-20T05:00:00.000Z"
270,11747,"Source 3","2020-04-25T05:00:00.000Z"
271,8280,"Source 2","2020-05-20T05:00:00.000Z"
272,218,"Source 2","2020-07-30T05:00:00.000Z"
273,6217,"Source 2","2020-12-25T05:00:00.000Z"
274,2479,"Source 4","2020-07-12T05:00:00.000Z"
275,11383,"Source 2","2020-10-16T05:00:00.000Z"
276,430,"Source 4","2019-01-02T05:00:00.000Z"
277,11943,"Source 5","2018-09-29T05:00:00.000Z"
278,4475,"Source 1","2020-09-02T05:00:00.000Z"
279,458,"Source 4","2018-09-07T05:00:00.000Z"
280,1582,"Source 5","2020-08-19T05:00:00.000Z"
281,11243,"Source 1","2018-03-23T05:00:00.000Z"
282,6798,"Source 2","2020-08-04T05:00:00.000Z"
283,7992,"Source 4","2019-09-10T05:00:00.000Z"
284,10795,"Source 1","2018-02-05T05:00:00.000Z"
285,5642,"Source 2","2020-09-12T05:00:00.000Z"
286,1284,"Source 4","2019-03-02T05:00:00.000Z"
287,8919,"Source 2","2019-10-14T05:00:00.000Z"
288,3344,"Source 2","2020-07-23T05:00:00.000Z"
289,180,"Source 3","2019-11-17T05:00:00.000Z"
290,7222,"Source 2","2020-09-25T05:00:00.000Z"
291,1197,"Source 1","2019-12-23T05:00:00.000Z"
292,979,"Source 3","2019-03-06T05:00:00.000Z"
293,7095,"Source 4","2019-12-26T05:00:00.000Z"
294,2009,"Source 4","2019-08-09T05:00:00.000Z"
295,6848,"Source 5","2018-10-31T05:00:00.000Z"
296,960,"Source 4","2019-08-10T05:00:00.000Z"
297,7427,"Source 1","2018-06-09T05:00:00.000Z"
298,2559,"Source 4","2018-09-24T05:00:00.000Z"
299,10121,"Source 3","2020-04-27T05:00:00.000Z"
300,189,"Source 3","2019-08-30T05:00:00.000Z"
301,6616,"Source 2","2020-07-16T05:00:00.000Z"
302,713,"Source 2","2020-02-28T05:00:00.000Z"
303,5007,"Source 1","2020-06-16T05:00:00.000Z"
304,8519,"Source 4","2019-08-01T05:00:00.000Z"
305,9073,"Source 1","2020-09-28T05:00:00.000Z"
306,8968,"Source 5","2020-03-20T05:00:00.000Z"
307,7323,"Source 1","2019-07-15T05:00:00.000Z"
308,10465,"Source 5","2018-12-21T05:00:00.000Z"
309,5376,"Source 4","2020-05-15T05:00:00.000Z"
310,6537,"Source 1","2020-09-16T05:00:00.000Z"
311,2816,"Source 3","2020-02-21T05:00:00.000Z"
312,9879,"Source 4","2020-02-23T05:00:00.000Z"
313,1396,"Source 3","2018-12-29T05:00:00.000Z"
314,9205,"Source 4","2020-08-20T05:00:00.000Z"
315,8541,"Source 4","2019-04-09T05:00:00.000Z"
316,4032,"Source 2","2018-04-02T05:00:00.000Z"
317,6201,"Source 4","2018-03-12T05:00:00.000Z"
318,5253,"Source 2","2020-03-09T05:00:00.000Z"
319,11781,"Source 5","2018-04-01T05:00:00.000Z"
320,3012,"Source 2","2019-01-18T05:00:00.000Z"
321,5905,"Source 3","2018-12-26T05:00:00.000Z"
322,7662,"Source 5","2018-03-31T05:00:00.000Z"
323,10986,"Source 1","2018-07-04T05:00:00.000Z"
324,4441,"Source 5","2020-11-23T05:00:00.000Z"
325,41,"Source 3","2019-07-11T05:00:00.000Z"
326,3877,"Source 3","2018-11-19T05:00:00.000Z"
327,11818,"Source 1","2020-12-19T05:00:00.000Z"
328,7769,"Source 1","2019-05-20T05:00:00.000Z"
329,4602,"Source 3","2018-09-14T05:00:00.000Z"
330,8645,"Source 3","2019-10-19T05:00:00.000Z"
331,7929,"Source 4","2019-01-20T05:00:00.000Z"
332,7473,"Source 1","2018-08-13T05:00:00.000Z"
333,10716,"Source 3","2018-07-17T05:00:00.000Z"
334,8231,"Source 1","2018-06-27T05:00:00.000Z"
335,7904,"Source 2","2018-01-20T05:00:00.000Z"
336,8350,"Source 5","2019-06-04T05:00:00.000Z"
337,11062,"Source 5","2018-09-19T05:00:00.000Z"
338,10261,"Source 2","2019-12-25T05:00:00.000Z"
339,9245,"Source 4","2020-05-31T05:00:00.000Z"
340,3595,"Source 2","2018-12-23T05:00:00.000Z"
341,9069,"Source 2","2019-10-12T05:00:00.000Z"
342,3900,"Source 2","2019-10-01T05:00:00.000Z"
343,8187,"Source 5","2020-06-10T05:00:00.000Z"
344,2769,"Source 4","2020-05-29T05:00:00.000Z"
345,5089,"Source 2","2019-12-01T05:00:00.000Z"
346,7144,"Source 4","2018-11-28T05:00:00.000Z"
347,10938,"Source 5","2018-11-17T05:00:00.000Z"
348,3081,"Source 4","2020-05-10T05:00:00.000Z"
349,2230,"Source 4","2020-07-08T05:00:00.000Z"
350,4598,"Source 1","2020-01-21T05:00:00.000Z"
351,10168,"Source 4","2019-07-02T05:00:00.000Z"
352,5061,"Source 2","2020-12-20T05:00:00.000Z"
353,7623,"Source 2","2020-04-03T05:00:00.000Z"
354,2084,"Source 5","2018-12-14T05:00:00.000Z"
355,1188,"Source 2","2020-07-25T05:00:00.000Z"
356,10163,"Source 5","2018-04-07T05:00:00.000Z"
357,9262,"Source 2","2018-07-28T05:00:00.000Z"
358,8092,"Source 5","2018-11-05T05:00:00.000Z"
359,5482,"Source 1","2019-05-06T05:00:00.000Z"
360,2312,"Source 3","2020-08-01T05:00:00.000Z"
361,5875,"Source 3","2020-10-12T05:00:00.000Z"
362,6740,"Source 2","2018-01-03T05:00:00.000Z"
363,7168,"Source 5","2020-01-01T05:00:00.000Z"
364,3821,"Source 2","2019-06-01T05:00:00.000Z"
365,9910,"Source 5","2020-10-28T05:00:00.000Z"
366,3814,"Source 2","2018-12-14T05:00:00.000Z"
367,2090,"Source 5","2020-09-16T05:00:00.000Z"
368,340,"Source 2","2019-07-03T05:00:00.000Z"
369,2498,"Source 4","2019-02-12T05:00:00.000Z"
370,11475,"Source 4","2018-12-27T05:00:00.000Z"
371,8440,"Source 3","2019-04-05T05:00:00.000Z"
372,8940,"Source 4","2020-12-07T05:00:00.000Z"
373,6670,"Source 4","2018-02-22T05:00:00.000Z"
374,5410,"Source 4","2020-03-24T05:00:00.000Z"
375,6719,"Source 1","2020-08-12T05:00:00.000Z"
376,9562,"Source 5","2019-08-19T05:00:00.000Z"
377,4512,"Source 1","2020-08-12T05:00:00.000Z"
378,6149,"Source 1","2020-09-22T05:00:00.000Z"
379,2125,"Source 1","2019-05-21T05:00:00.000Z"
380,11527,"Source 4","2018-01-12T05:00:00.000Z"
381,11611,"Source 1","2020-03-28T05:00:00.000Z"
382,726,"Source 1","2019-12-27T05:00:00.000Z"
383,2779,"Source 4","2019-02-08T05:00:00.000Z"
384,3864,"Source 5","2018-03-20T05:00:00.000Z"
385,2905,"Source 1","2018-10-31T05:00:00.000Z"
386,7139,"Source 2","2020-08-14T05:00:00.000Z"
387,8678,"Source 5","2018-11-01T05:00:00.000Z"
388,3062,"Source 3","2019-01-12T05:00:00.000Z"
389,10657,"Source 3","2018-11-29T05:00:00.000Z"
390,2850,"Source 5","2018-12-07T05:00:00.000Z"
391,5454,"Source 1","2020-02-17T05:00:00.000Z"
392,8863,"Source 2","2019-11-22T05:00:00.000Z"
393,9801,"Source 2","2019-07-09T05:00:00.000Z"
394,1982,"Source 3","2019-09-05T05:00:00.000Z"
395,2527,"Source 4","2019-08-09T05:00:00.000Z"
396,8343,"Source 5","2020-11-29T05:00:00.000Z"
397,11322,"Source 1","2019-02-04T05:00:00.000Z"
398,5274,"Source 1","2020-11-14T05:00:00.000Z"
399,3955,"Source 2","2020-01-26T05:00:00.000Z"
400,10935,"Source 5","2018-10-06T05:00:00.000Z"
401,1249,"Source 2","2019-02-19T05:00:00.000Z"
402,8237,"Source 4","2019-07-23T05:00:00.000Z"
403,4383,"Source 5","2019-03-08T05:00:00.000Z"
404,8376,"Source 3","2020-11-14T05:00:00.000Z"
405,9776,"Source 4","2019-03-06T05:00:00.000Z"
406,10470,"Source 1","2018-02-17T05:00:00.000Z"
407,9233,"Source 4","2018-07-20T05:00:00.000Z"
408,6681,"Source 2","2018-07-14T05:00:00.000Z"
409,9192,"Source 2","2018-02-27T05:00:00.000Z"
410,4937,"Source 1","2018-10-16T05:00:00.000Z"
411,7248,"Source 2","2020-09-14T05:00:00.000Z"
412,7514,"Source 5","2018-08-24T05:00:00.000Z"
413,10588,"Source 4","2019-06-08T05:00:00.000Z"
414,9598,"Source 1","2019-03-06T05:00:00.000Z"
415,6660,"Source 4","2018-06-23T05:00:00.000Z"
416,4244,"Source 5","2020-10-21T05:00:00.000Z"
417,8343,"Source 5","2018-11-26T05:00:00.000Z"
418,571,"Source 3","2020-01-08T05:00:00.000Z"
419,7768,"Source 1","2019-11-03T05:00:00.000Z"
420,8505,"Source 5","2019-08-07T05:00:00.000Z"
421,86,"Source 5","2018-07-02T05:00:00.000Z"
422,10282,"Source 1","2018-01-29T05:00:00.000Z"
423,1244,"Source 5","2018-03-20T05:00:00.000Z"
424,5300,"Source 3","2018-06-22T05:00:00.000Z"
425,8887,"Source 4","2020-11-26T05:00:00.000Z"
426,986,"Source 5","2018-09-06T05:00:00.000Z"
427,7625,"Source 3","2019-10-19T05:00:00.000Z"
428,9239,"Source 5","2018-11-15T05:00:00.000Z"
429,7113,"Source 4","2019-12-26T05:00:00.000Z"
430,6947,"Source 2","2020-05-12T05:00:00.000Z"
431,1887,"Source 2","2020-03-05T05:00:00.000Z"
432,11770,"Source 3","2019-10-04T05:00:00.000Z"
433,9142,"Source 4","2019-01-10T05:00:00.000Z"
434,5934,"Source 3","2019-07-09T05:00:00.000Z"
435,5735,"Source 4","2019-09-26T05:00:00.000Z"
436,10783,"Source 2","2020-07-23T05:00:00.000Z"
437,7874,"Source 1","2019-09-14T05:00:00.000Z"
438,6545,"Source 4","2018-09-25T05:00:00.000Z"
439,11352,"Source 4","2020-08-07T05:00:00.000Z"
440,1939,"Source 4","2020-11-03T05:00:00.000Z"
441,7218,"Source 1","2020-10-17T05:00:00.000Z"
442,9192,"Source 5","2019-04-11T05:00:00.000Z"
443,9003,"Source 4","2018-12-06T05:00:00.000Z"
444,6208,"Source 1","2019-07-12T05:00:00.000Z"
445,7822,"Source 4","2018-08-02T05:00:00.000Z"
446,7975,"Source 2","2020-05-07T05:00:00.000Z"
447,1225,"Source 5","2019-08-30T05:00:00.000Z"
448,9006,"Source 4","2018-03-10T05:00:00.000Z"
449,9594,"Source 2","2019-08-25T05:00:00.000Z"
450,9441,"Source 5","2019-10-08T05:00:00.000Z"
451,9776,"Source 2","2020-05-09T05:00:00.000Z"
452,10906,"Source 4","2019-12-29T05:00:00.000Z"
453,3327,"Source 5","2018-06-02T05:00:00.000Z"
454,1228,"Source 4","2018-03-27T05:00:00.000Z"
455,11628,"Source 2","2018-02-20T05:00:00.000Z"
456,1886,"Source 1","2020-05-03T05:00:00.000Z"
457,8905,"Source 1","2019-03-11T05:00:00.000Z"
458,1296,"Source 3","2020-08-07T05:00:00.000Z"
459,5745,"Source 4","2018-06-26T05:00:00.000Z"
460,2805,"Source 3","2020-03-25T05:00:00.000Z"
461,3417,"Source 4","2018-02-28T05:00:00.000Z"
462,6717,"Source 4","2019-11-12T05:00:00.000Z"
463,7694,"Source 3","2020-02-03T05:00:00.000Z"
464,9664,"Source 4","2020-12-16T05:00:00.000Z"
465,2795,"Source 3","2018-12-24T05:00:00.000Z"
466,8492,"Source 5","2019-12-16T05:00:00.000Z"
467,332,"Source 2","2020-07-24T05:00:00.000Z"
468,6557,"Source 1","2018-03-08T05:00:00.000Z"
469,1758,"Source 2","2020-03-12T05:00:00.000Z"
470,6346,"Source 4","2018-01-15T05:00:00.000Z"
471,10588,"Source 2","2019-06-20T05:00:00.000Z"
472,3495,"Source 5","2018-02-06T05:00:00.000Z"
473,1827,"Source 2","2020-09-07T05:00:00.000Z"
474,1058,"Source 4","2018-04-11T05:00:00.000Z"
475,1238,"Source 1","2018-08-24T05:00:00.000Z"
476,4951,"Source 2","2020-12-09T05:00:00.000Z"
477,9400,"Source 5","2018-03-16T05:00:00.000Z"
478,2905,"Source 5","2020-07-30T05:00:00.000Z"
479,11989,"Source 2","2020-07-09T05:00:00.000Z"
480,5796,"Source 4","2020-10-29T05:00:00.000Z"
481,1185,"Source 5","2020-12-27T05:00:00.000Z"
