ProjectKey,Name,CustomerKey,Description,Status,StartDate,EndDate
20,Project name 20,1011,Nonalcoholic beverages,Active,2020-01-11T05:00:00.000Z,2020-03-07T05:00:00.000Z
21,Project name 21,3328,Meat,Closed,2018-03-26T05:00:00.000Z,2018-07-05T05:00:00.000Z
22,Project name 22,449,Bread,Presales,2020-11-28T05:00:00.000Z,2021-01-31T05:00:00.000Z
23,Project name 23,3429,Eggs,Closed,2018-09-18T05:00:00.000Z,2018-12-16T05:00:00.000Z
24,Project name 24,1401,Detergents,Closed,2018-11-29T05:00:00.000Z,2018-12-24T05:00:00.000Z
25,Project name 25,401,Decorations,Closed,2018-11-22T05:00:00.000Z,2018-12-20T05:00:00.000Z
26,Project name 26,1114,Pasta,Active,2020-03-29T05:00:00.000Z,2020-11-01T05:00:00.000Z
27,Project name 27,3224,Fruits,Presales,2020-06-05T05:00:00.000Z,2021-01-01T05:00:00.000Z
28,Project name 28,193,Toys,Active,2020-12-14T05:00:00.000Z,2021-06-24T05:00:00.000Z
29,Project name 29,97,Olive oil,Presales,2020-07-11T05:00:00.000Z,2021-01-07T05:00:00.000Z
30,Project name 30,3994,Fish,Cancelled,2018-05-22T05:00:00.000Z,2018-11-03T05:00:00.000Z
31,Project name 31,1606,Personal hygiene,Closed,2019-06-29T05:00:00.000Z,2019-08-16T05:00:00.000Z
32,Project name 32,2434,Bakery products,Cancelled,2019-12-22T05:00:00.000Z,2020-07-26T05:00:00.000Z
33,Project name 33,1424,Baby food,Closed,2019-11-07T05:00:00.000Z,2020-06-10T05:00:00.000Z
34,Project name 34,1961,Olive oil,Presales,2020-06-06T05:00:00.000Z,2020-10-14T05:00:00.000Z
35,Project name 35,1539,Bakery products,Cancelled,2019-12-08T05:00:00.000Z,2020-03-09T05:00:00.000Z
36,Project name 36,1493,Mustard,Closed,2019-03-18T05:00:00.000Z,2019-05-23T05:00:00.000Z
37,Project name 37,1125,White rice,Active,2020-06-25T05:00:00.000Z,2020-10-19T05:00:00.000Z
38,Project name 38,4397,Salmon,Cancelled,2020-11-09T05:00:00.000Z,2021-01-29T05:00:00.000Z
39,Project name 39,1607,Fruits,Closed,2019-09-23T05:00:00.000Z,2019-10-21T05:00:00.000Z
40,Project name 40,214,Olive oil,Closed,2019-07-21T05:00:00.000Z,2020-02-04T05:00:00.000Z
41,Project name 41,1078,Pet foods,Presales,2020-11-29T05:00:00.000Z,2021-03-28T05:00:00.000Z
42,Project name 42,4849,Bakery products,Presales,2020-07-15T05:00:00.000Z,2020-08-31T05:00:00.000Z
43,Project name 43,4482,Dairy,Active,2019-11-23T05:00:00.000Z,2020-01-07T05:00:00.000Z
44,Project name 44,4022,Bakery products,Presales,2020-08-02T05:00:00.000Z,2020-10-20T05:00:00.000Z
45,Project name 45,2624,Condiments,Presales,2020-10-14T05:00:00.000Z,2021-01-08T05:00:00.000Z
46,Project name 46,1752,Alcoholic beverages,Active,2020-03-24T05:00:00.000Z,2020-09-07T05:00:00.000Z
47,Project name 47,3317,Nonalcoholic beverages,Presales,2020-08-05T05:00:00.000Z,2020-09-12T05:00:00.000Z
48,Project name 48,1227,Sweets,Active,2020-01-29T05:00:00.000Z,2020-06-30T05:00:00.000Z
49,Project name 49,258,Coffee,Active,2020-07-01T05:00:00.000Z,2020-09-22T05:00:00.000Z
50,Project name 50,410,Dairy,Active,2019-12-06T05:00:00.000Z,2020-04-28T05:00:00.000Z
51,Project name 51,1551,Detergents,Cancelled,2020-11-18T05:00:00.000Z,2020-11-28T05:00:00.000Z
52,Project name 52,500,Cereals,Closed,2019-09-03T05:00:00.000Z,2019-12-24T05:00:00.000Z
53,Project name 53,3370,Frozen foods,Cancelled,2018-11-05T05:00:00.000Z,2018-12-21T05:00:00.000Z
54,Project name 54,2193,Frozen foods,Active,2020-06-11T05:00:00.000Z,2020-10-02T05:00:00.000Z
55,Project name 55,3836,Cosmetics,Presales,2020-09-18T05:00:00.000Z,2020-11-19T05:00:00.000Z
56,Project name 56,4898,Condiments,Active,2020-05-21T05:00:00.000Z,2020-08-28T05:00:00.000Z
57,Project name 57,4311,Sweets,Presales,2020-11-10T05:00:00.000Z,2021-03-29T05:00:00.000Z
58,Project name 58,1287,Olive oil,Presales,2020-11-18T05:00:00.000Z,2021-05-14T05:00:00.000Z
59,Project name 59,3630,Detergents,Cancelled,2019-04-17T05:00:00.000Z,2019-07-05T05:00:00.000Z
60,Project name 60,1102,Cosmetics,Cancelled,2018-12-27T05:00:00.000Z,2019-07-12T05:00:00.000Z
61,Project name 61,3064,Condiments,Cancelled,2018-11-07T05:00:00.000Z,2019-05-03T05:00:00.000Z
62,Project name 62,3768,Decorations,Active,2020-06-12T05:00:00.000Z,2021-01-11T05:00:00.000Z
63,Project name 63,3497,Bread,Active,2020-05-31T05:00:00.000Z,2020-07-05T05:00:00.000Z
64,Project name 64,1641,Canned Goods,Presales,2020-07-03T05:00:00.000Z,2020-09-03T05:00:00.000Z
65,Project name 65,2112,Poultry,Cancelled,2019-10-19T05:00:00.000Z,2020-05-03T05:00:00.000Z
66,Project name 66,245,Tea,Cancelled,2019-05-09T05:00:00.000Z,2019-11-15T05:00:00.000Z
67,Project name 67,2092,Seafood,Active,2020-09-15T05:00:00.000Z,2020-10-02T05:00:00.000Z
68,Project name 68,875,House-cleaning products,Cancelled,2019-06-05T05:00:00.000Z,2019-09-12T05:00:00.000Z
69,Project name 69,1253,Pet foods,Presales,2020-10-02T05:00:00.000Z,2020-11-29T05:00:00.000Z
70,Project name 70,4292,Fruits,Presales,2020-11-17T05:00:00.000Z,2020-12-12T05:00:00.000Z
71,Project name 71,2006,Paper Goods,Cancelled,2018-10-28T05:00:00.000Z,2019-03-19T05:00:00.000Z
72,Project name 72,4293,White rice,Closed,2019-09-30T05:00:00.000Z,2020-05-02T05:00:00.000Z
73,Project name 73,711,Sweets,Cancelled,2019-06-27T05:00:00.000Z,2019-10-11T05:00:00.000Z
74,Project name 74,2513,Hygiene products,Cancelled,2018-07-29T05:00:00.000Z,2018-12-16T05:00:00.000Z
75,Project name 75,2861,Salmon,Active,2020-08-22T05:00:00.000Z,2021-03-12T05:00:00.000Z
76,Project name 76,239,Decorations,Active,2020-02-03T05:00:00.000Z,2020-06-15T05:00:00.000Z
77,Project name 77,4343,Baby food,Closed,2020-04-04T05:00:00.000Z,2020-08-16T05:00:00.000Z
78,Project name 78,2548,Paper Goods,Closed,2019-01-08T05:00:00.000Z,2019-04-21T05:00:00.000Z
79,Project name 79,1265,Dishware,Closed,2018-03-11T05:00:00.000Z,2018-06-29T05:00:00.000Z
80,Project name 80,121,Tea,Presales,2020-10-19T05:00:00.000Z,2021-01-03T05:00:00.000Z
81,Project name 81,1457,Sauces,Presales,2020-09-20T05:00:00.000Z,2020-11-07T05:00:00.000Z
82,Project name 82,2775,Cosmetics,Cancelled,2018-03-03T05:00:00.000Z,2018-09-22T05:00:00.000Z
83,Project name 83,2627,Fish,Cancelled,2020-03-15T05:00:00.000Z,2020-03-31T05:00:00.000Z
84,Project name 84,3774,Paper Goods,Presales,2020-06-08T05:00:00.000Z,2020-06-08T05:00:00.000Z
85,Project name 85,767,Detergents,Active,2020-06-04T05:00:00.000Z,2020-10-26T05:00:00.000Z
86,Project name 86,871,Dry Goods,Presales,2020-07-08T05:00:00.000Z,2020-07-24T05:00:00.000Z
87,Project name 87,3645,Flour,Active,2020-02-02T05:00:00.000Z,2020-08-24T05:00:00.000Z
88,Project name 88,1264,Olive oil,Presales,2020-11-09T05:00:00.000Z,2021-01-11T05:00:00.000Z
89,Project name 89,3351,Housewares,Active,2020-08-13T05:00:00.000Z,2020-11-07T05:00:00.000Z
90,Project name 90,2061,Chicken,Presales,2020-12-18T05:00:00.000Z,2021-03-21T05:00:00.000Z
91,Project name 91,628,Fish,Cancelled,2020-10-05T05:00:00.000Z,2021-04-07T05:00:00.000Z
92,Project name 92,1995,Coffee,Cancelled,2020-06-11T05:00:00.000Z,2021-01-06T05:00:00.000Z
93,Project name 93,2652,Dry Goods,Active,2020-11-29T05:00:00.000Z,2021-01-25T05:00:00.000Z
94,Project name 94,1388,Sweets,Presales,2020-08-25T05:00:00.000Z,2021-01-19T05:00:00.000Z
95,Project name 95,4624,Sauces,Closed,2018-08-17T05:00:00.000Z,2019-01-31T05:00:00.000Z
96,Project name 96,3780,Sweets,Closed,2019-12-25T05:00:00.000Z,2020-05-05T05:00:00.000Z
97,Project name 97,3394,Personal Care,Closed,2019-09-20T05:00:00.000Z,2019-10-06T05:00:00.000Z
98,Project name 98,1511,Seafood,Cancelled,2018-03-13T05:00:00.000Z,2018-09-23T05:00:00.000Z
99,Project name 99,999,Sauces,Cancelled,2020-07-04T05:00:00.000Z,2020-11-02T05:00:00.000Z
100,Project name 100,4932,Diet foods,Closed,2018-01-08T05:00:00.000Z,2018-03-23T05:00:00.000Z
101,Project name 101,690,Grooming products,Closed,2018-12-08T05:00:00.000Z,2019-04-20T05:00:00.000Z
102,Project name 102,4612,Medicines,Cancelled,2020-12-02T05:00:00.000Z,2021-05-06T05:00:00.000Z
103,Project name 103,3288,Brown rice,Presales,2020-12-04T05:00:00.000Z,2021-06-10T05:00:00.000Z
104,Project name 104,3375,Hygiene products,Cancelled,2018-10-24T05:00:00.000Z,2019-01-16T05:00:00.000Z
105,Project name 105,3011,Coffee,Cancelled,2018-06-05T05:00:00.000Z,2018-11-12T05:00:00.000Z
106,Project name 106,3696,Medicines,Presales,2020-12-09T05:00:00.000Z,2021-07-06T05:00:00.000Z
107,Project name 107,3657,Olive oil,Presales,2020-07-03T05:00:00.000Z,2020-12-22T05:00:00.000Z
108,Project name 108,352,Tomato sauce,Presales,2020-09-01T05:00:00.000Z,2020-12-05T05:00:00.000Z
109,Project name 109,823,Alcoholic beverages,Closed,2019-07-27T05:00:00.000Z,2020-01-26T05:00:00.000Z
110,Project name 110,4457,House-cleaning products,Cancelled,2018-07-28T05:00:00.000Z,2019-02-28T05:00:00.000Z
111,Project name 111,4455,Alcoholic beverages,Closed,2019-07-17T05:00:00.000Z,2019-12-18T05:00:00.000Z
112,Project name 112,3619,Baby food,Presales,2020-06-09T05:00:00.000Z,2020-09-17T05:00:00.000Z
113,Project name 113,3063,Baby-care,Active,2020-07-26T05:00:00.000Z,2020-10-04T05:00:00.000Z
114,Project name 114,4381,Medicines,Active,2020-04-05T05:00:00.000Z,2020-08-02T05:00:00.000Z
115,Project name 115,3434,Grooming products,Active,2020-09-04T05:00:00.000Z,2021-02-28T05:00:00.000Z
116,Project name 116,2196,Eggs,Presales,2020-11-04T05:00:00.000Z,2021-03-22T05:00:00.000Z
117,Project name 117,1764,Brown rice,Cancelled,2018-11-07T05:00:00.000Z,2018-11-28T05:00:00.000Z
118,Project name 118,3137,Medicines,Active,2019-12-31T05:00:00.000Z,2020-04-25T05:00:00.000Z
119,Project name 119,3867,House-cleaning products,Closed,2018-11-28T05:00:00.000Z,2019-04-21T05:00:00.000Z
120,Project name 120,4175,Personal Care,Presales,2020-11-06T05:00:00.000Z,2020-12-13T05:00:00.000Z
121,Project name 121,3484,Cosmetics,Presales,2020-07-20T05:00:00.000Z,2020-10-25T05:00:00.000Z
122,Project name 122,3149,Fruits,Closed,2019-04-06T05:00:00.000Z,2019-10-08T05:00:00.000Z
123,Project name 123,1007,Detergents,Closed,2020-04-05T05:00:00.000Z,2020-10-07T05:00:00.000Z
124,Project name 124,2831,Diet foods,Presales,2020-12-23T05:00:00.000Z,2021-04-24T05:00:00.000Z
125,Project name 125,4451,Cereals,Closed,2019-08-17T05:00:00.000Z,2019-08-24T05:00:00.000Z
126,Project name 126,3857,Condiments,Presales,2020-08-22T05:00:00.000Z,2021-02-23T05:00:00.000Z
127,Project name 127,3514,Sweets,Presales,2020-07-29T05:00:00.000Z,2020-11-17T05:00:00.000Z
128,Project name 128,2279,Canned Goods,Presales,2020-09-13T05:00:00.000Z,2020-10-08T05:00:00.000Z
129,Project name 129,1320,Tea,Active,2020-07-28T05:00:00.000Z,2020-11-19T05:00:00.000Z
130,Project name 130,2832,Flour,Active,2020-09-30T05:00:00.000Z,2021-04-03T05:00:00.000Z
131,Project name 131,4340,Cheese,Closed,2020-04-01T05:00:00.000Z,2020-05-11T05:00:00.000Z
132,Project name 132,2361,Decorations,Active,2020-08-14T05:00:00.000Z,2020-09-26T05:00:00.000Z
133,Project name 133,3679,Baby food,Active,2020-06-15T05:00:00.000Z,2020-12-09T05:00:00.000Z
134,Project name 134,1254,Bottled waters,Closed,2018-02-13T05:00:00.000Z,2018-04-28T05:00:00.000Z
135,Project name 135,4807,Medicines,Closed,2020-03-29T05:00:00.000Z,2020-07-19T05:00:00.000Z
136,Project name 136,1553,Flowers,Presales,2020-12-20T05:00:00.000Z,2021-07-24T05:00:00.000Z
137,Project name 137,2750,Detergents,Closed,2018-09-23T05:00:00.000Z,2019-04-03T05:00:00.000Z
138,Project name 138,2015,Bread,Closed,2019-07-14T05:00:00.000Z,2019-08-07T05:00:00.000Z
139,Project name 139,2287,Baby-care,Closed,2020-03-17T05:00:00.000Z,2020-03-28T05:00:00.000Z
140,Project name 140,3750,White rice,Active,2020-03-21T05:00:00.000Z,2020-05-16T05:00:00.000Z
141,Project name 141,4562,White rice,Closed,2018-11-15T05:00:00.000Z,2019-06-16T05:00:00.000Z
142,Project name 142,1778,Toys,Presales,2020-09-08T05:00:00.000Z,2021-02-13T05:00:00.000Z
143,Project name 143,1548,Diet foods,Presales,2020-10-27T05:00:00.000Z,2021-01-08T05:00:00.000Z
144,Project name 144,3046,Chicken,Cancelled,2020-10-16T05:00:00.000Z,2021-04-14T05:00:00.000Z
145,Project name 145,699,Personal hygiene,Presales,2020-10-22T05:00:00.000Z,2020-12-02T05:00:00.000Z
146,Project name 146,1097,Poultry,Closed,2018-10-22T05:00:00.000Z,2019-04-10T05:00:00.000Z
147,Project name 147,1418,Mustard,Closed,2019-11-05T05:00:00.000Z,2019-12-06T05:00:00.000Z
148,Project name 148,1826,Olive oil,Closed,2018-02-26T05:00:00.000Z,2018-04-24T05:00:00.000Z
149,Project name 149,1257,Baby-care,Closed,2019-07-28T05:00:00.000Z,2020-01-13T05:00:00.000Z
150,Project name 150,1736,Toys,Presales,2020-12-29T05:00:00.000Z,2021-02-17T05:00:00.000Z
151,Project name 151,3837,Sauces,Presales,2020-07-19T05:00:00.000Z,2021-02-04T05:00:00.000Z
152,Project name 152,2663,Cheese,Closed,2020-03-19T05:00:00.000Z,2020-08-24T05:00:00.000Z
153,Project name 153,1005,Decorations,Presales,2020-07-13T05:00:00.000Z,2020-09-27T05:00:00.000Z
154,Project name 154,4120,Bakery products,Closed,2018-09-25T05:00:00.000Z,2018-11-25T05:00:00.000Z
155,Project name 155,1021,Poultry,Presales,2020-10-24T05:00:00.000Z,2021-04-05T05:00:00.000Z
156,Project name 156,1227,Candies,Active,2019-11-15T05:00:00.000Z,2020-01-08T05:00:00.000Z
157,Project name 157,338,Nonalcoholic beverages,Closed,2018-04-27T05:00:00.000Z,2018-11-02T05:00:00.000Z
158,Project name 158,2758,Candies,Presales,2020-08-13T05:00:00.000Z,2020-10-08T05:00:00.000Z
159,Project name 159,4183,Alcoholic beverages,Active,2020-10-27T05:00:00.000Z,2020-11-26T05:00:00.000Z
160,Project name 160,794,Poultry,Cancelled,2019-02-25T05:00:00.000Z,2019-05-14T05:00:00.000Z
161,Project name 161,1860,Meat,Presales,2020-06-04T05:00:00.000Z,2021-01-05T05:00:00.000Z
162,Project name 162,2929,Olive oil,Presales,2020-08-24T05:00:00.000Z,2021-01-25T05:00:00.000Z
163,Project name 163,2403,Personal hygiene,Cancelled,2018-05-24T05:00:00.000Z,2018-06-15T05:00:00.000Z
164,Project name 164,1762,Snack foods,Active,2020-05-11T05:00:00.000Z,2020-09-21T05:00:00.000Z
165,Project name 165,3279,Grooming products,Cancelled,2019-01-17T05:00:00.000Z,2019-04-25T05:00:00.000Z
166,Project name 166,997,Coffee,Active,2020-06-19T05:00:00.000Z,2020-08-12T05:00:00.000Z
167,Project name 167,3835,Frozen foods,Cancelled,2019-05-27T05:00:00.000Z,2019-08-29T05:00:00.000Z
168,Project name 168,3564,Ground turkey,Active,2020-07-28T05:00:00.000Z,2020-08-10T05:00:00.000Z
169,Project name 169,2109,Canned Goods,Active,2020-08-05T05:00:00.000Z,2020-12-25T05:00:00.000Z
170,Project name 170,2956,Paper Goods,Active,2020-11-12T05:00:00.000Z,2020-12-08T05:00:00.000Z
171,Project name 171,1926,Medicines,Cancelled,2019-01-19T05:00:00.000Z,2019-03-21T05:00:00.000Z
172,Project name 172,2413,Flour,Presales,2020-06-07T05:00:00.000Z,2020-06-23T05:00:00.000Z
173,Project name 173,71,Personal hygiene,Cancelled,2019-01-28T05:00:00.000Z,2019-05-17T05:00:00.000Z
174,Project name 174,2066,Baby-care,Cancelled,2020-07-28T05:00:00.000Z,2020-08-27T05:00:00.000Z
175,Project name 175,3211,Bottled waters,Closed,2019-01-07T05:00:00.000Z,2019-06-02T05:00:00.000Z
176,Project name 176,3872,Dry Goods,Presales,2020-07-22T05:00:00.000Z,2021-02-22T05:00:00.000Z
177,Project name 177,4835,Housewares,Presales,2020-11-13T05:00:00.000Z,2020-12-13T05:00:00.000Z
178,Project name 178,695,Personal hygiene,Active,2020-08-19T05:00:00.000Z,2021-01-26T05:00:00.000Z
179,Project name 179,3044,Brown rice,Closed,2019-10-10T05:00:00.000Z,2019-12-22T05:00:00.000Z
180,Project name 180,2242,Coffee,Presales,2020-06-09T05:00:00.000Z,2020-06-27T05:00:00.000Z
181,Project name 181,426,Diet foods,Presales,2020-09-05T05:00:00.000Z,2020-10-27T05:00:00.000Z
182,Project name 182,4213,Flour,Active,2020-12-01T05:00:00.000Z,2021-03-12T05:00:00.000Z
183,Project name 183,2194,Eggs,Closed,2018-12-10T05:00:00.000Z,2019-05-26T05:00:00.000Z
184,Project name 184,2036,Coffee,Cancelled,2020-07-02T05:00:00.000Z,2020-08-15T05:00:00.000Z
185,Project name 185,2479,Detergents,Presales,2020-09-04T05:00:00.000Z,2021-01-02T05:00:00.000Z
186,Project name 186,4478,Frozen foods,Presales,2020-07-06T05:00:00.000Z,2020-11-22T05:00:00.000Z
187,Project name 187,4478,Frozen foods,Closed,2020-01-23T05:00:00.000Z,2020-04-10T05:00:00.000Z
188,Project name 188,1394,Bakery products,Cancelled,2020-07-09T05:00:00.000Z,2021-02-07T05:00:00.000Z
189,Project name 189,2630,Paper Goods,Active,2020-03-10T05:00:00.000Z,2020-03-29T05:00:00.000Z
190,Project name 190,986,Brown rice,Cancelled,2018-07-31T05:00:00.000Z,2019-01-13T05:00:00.000Z
191,Project name 191,3501,Pet foods,Cancelled,2020-03-21T05:00:00.000Z,2020-05-12T05:00:00.000Z
192,Project name 192,2833,Sauces,Active,2020-09-25T05:00:00.000Z,2021-02-05T05:00:00.000Z
193,Project name 193,2002,Baby food,Cancelled,2020-12-19T05:00:00.000Z,2021-06-14T05:00:00.000Z
194,Project name 194,4852,Diet foods,Presales,2020-06-25T05:00:00.000Z,2021-01-02T05:00:00.000Z
195,Project name 195,1989,Sweets,Closed,2018-06-22T05:00:00.000Z,2018-11-05T05:00:00.000Z
196,Project name 196,4295,Coffee,Active,2020-09-28T05:00:00.000Z,2020-12-28T05:00:00.000Z
197,Project name 197,945,Nonalcoholic beverages,Presales,2020-09-11T05:00:00.000Z,2021-01-12T05:00:00.000Z
198,Project name 198,4838,Candies,Presales,2020-09-28T05:00:00.000Z,2020-11-01T05:00:00.000Z
199,Project name 199,1325,Sweets,Closed,2018-08-23T05:00:00.000Z,2019-01-23T05:00:00.000Z
200,Project name 200,3695,Flowers,Active,2019-12-07T05:00:00.000Z,2020-05-06T05:00:00.000Z
201,Project name 201,2694,Detergents,Active,2019-12-01T05:00:00.000Z,2020-04-11T05:00:00.000Z
202,Project name 202,3799,Poultry,Closed,2018-03-29T05:00:00.000Z,2018-07-01T05:00:00.000Z
203,Project name 203,4936,Olive oil,Presales,2020-06-13T05:00:00.000Z,2021-01-15T05:00:00.000Z
204,Project name 204,2000,Tea,Active,2019-12-07T05:00:00.000Z,2020-06-13T05:00:00.000Z
205,Project name 205,1256,Poultry,Cancelled,2020-08-14T05:00:00.000Z,2021-02-08T05:00:00.000Z
206,Project name 206,1511,Chicken,Active,2019-12-10T05:00:00.000Z,2020-06-19T05:00:00.000Z
207,Project name 207,2620,Seafood,Cancelled,2020-11-17T05:00:00.000Z,2021-02-16T05:00:00.000Z
208,Project name 208,457,Nonalcoholic beverages,Cancelled,2019-06-24T05:00:00.000Z,2019-10-10T05:00:00.000Z
209,Project name 209,4747,Cheese,Cancelled,2019-08-07T05:00:00.000Z,2020-03-02T05:00:00.000Z
210,Project name 210,261,Chicken,Closed,2018-02-06T05:00:00.000Z,2018-07-03T05:00:00.000Z
211,Project name 211,4763,Canned Goods,Presales,2020-06-28T05:00:00.000Z,2020-08-09T05:00:00.000Z
212,Project name 212,1353,Flour,Active,2020-09-02T05:00:00.000Z,2020-09-09T05:00:00.000Z
213,Project name 213,1718,Brown rice,Cancelled,2019-10-15T05:00:00.000Z,2020-04-15T05:00:00.000Z
214,Project name 214,203,Decorations,Active,2020-01-18T05:00:00.000Z,2020-03-04T05:00:00.000Z
215,Project name 215,1921,Seafood,Presales,2020-09-04T05:00:00.000Z,2021-02-15T05:00:00.000Z
216,Project name 216,667,Paper Goods,Active,2020-11-05T05:00:00.000Z,2021-04-16T05:00:00.000Z
217,Project name 217,2378,Vegetables,Active,2020-10-14T05:00:00.000Z,2021-02-21T05:00:00.000Z
218,Project name 218,4044,Tomato sauce,Active,2020-08-18T05:00:00.000Z,2021-01-30T05:00:00.000Z
219,Project name 219,2326,Bottled waters,Presales,2020-11-25T05:00:00.000Z,2020-12-21T05:00:00.000Z
220,Project name 220,1885,Grooming products,Closed,2019-03-10T05:00:00.000Z,2019-07-04T05:00:00.000Z
221,Project name 221,2614,Nonalcoholic beverages,Cancelled,2019-01-18T05:00:00.000Z,2019-08-03T05:00:00.000Z
222,Project name 222,1378,Flowers,Active,2019-11-18T05:00:00.000Z,2020-06-01T05:00:00.000Z
223,Project name 223,696,Fruits,Closed,2018-10-04T05:00:00.000Z,2019-04-06T05:00:00.000Z
224,Project name 224,4478,Paper Goods,Cancelled,2020-03-22T05:00:00.000Z,2020-04-11T05:00:00.000Z
225,Project name 225,526,Baby food,Presales,2020-11-25T05:00:00.000Z,2021-02-21T05:00:00.000Z
226,Project name 226,40,Flour,Closed,2019-09-21T05:00:00.000Z,2020-02-09T05:00:00.000Z
227,Project name 227,4761,Salmon,Active,2020-10-16T05:00:00.000Z,2021-03-06T05:00:00.000Z
228,Project name 228,2207,Decorations,Cancelled,2019-12-11T05:00:00.000Z,2020-04-01T05:00:00.000Z
229,Project name 229,2833,Snack foods,Cancelled,2020-07-05T05:00:00.000Z,2021-02-02T05:00:00.000Z
230,Project name 230,3306,Coffee,Presales,2020-08-22T05:00:00.000Z,2021-02-13T05:00:00.000Z
231,Project name 231,2082,Pasta,Active,2020-08-27T05:00:00.000Z,2020-11-08T05:00:00.000Z
232,Project name 232,1032,Frozen foods,Active,2020-12-01T05:00:00.000Z,2021-01-22T05:00:00.000Z
233,Project name 233,2855,Pet foods,Presales,2020-06-13T05:00:00.000Z,2020-11-07T05:00:00.000Z
234,Project name 234,681,Ground turkey,Presales,2020-12-14T05:00:00.000Z,2021-06-21T05:00:00.000Z
235,Project name 235,2915,Bread,Presales,2020-10-27T05:00:00.000Z,2020-12-16T05:00:00.000Z
236,Project name 236,2361,Pet foods,Active,2020-12-05T05:00:00.000Z,2020-12-08T05:00:00.000Z
237,Project name 237,4210,Tomato sauce,Closed,2018-09-04T05:00:00.000Z,2018-10-02T05:00:00.000Z
238,Project name 238,146,Mustard,Cancelled,2019-05-17T05:00:00.000Z,2019-06-26T05:00:00.000Z
239,Project name 239,1867,Condiments,Closed,2019-05-17T05:00:00.000Z,2019-09-08T05:00:00.000Z
240,Project name 240,4657,Personal hygiene,Presales,2020-11-27T05:00:00.000Z,2021-04-10T05:00:00.000Z
241,Project name 241,4471,Pet foods,Cancelled,2018-03-01T05:00:00.000Z,2018-05-23T05:00:00.000Z
242,Project name 242,3746,Medicines,Presales,2020-08-19T05:00:00.000Z,2020-10-24T05:00:00.000Z
243,Project name 243,1289,Cheese,Active,2020-07-23T05:00:00.000Z,2020-12-24T05:00:00.000Z
244,Project name 244,276,Cheese,Closed,2020-02-18T05:00:00.000Z,2020-02-26T05:00:00.000Z
245,Project name 245,1003,Fruits,Active,2020-08-03T05:00:00.000Z,2020-09-24T05:00:00.000Z
246,Project name 246,4849,Chicken,Presales,2020-08-21T05:00:00.000Z,2021-01-12T05:00:00.000Z
247,Project name 247,899,Tea,Closed,2018-02-20T05:00:00.000Z,2018-07-29T05:00:00.000Z
248,Project name 248,1384,Cosmetics,Presales,2020-08-21T05:00:00.000Z,2021-03-24T05:00:00.000Z
249,Project name 249,4654,Tea,Cancelled,2019-01-06T05:00:00.000Z,2019-03-14T05:00:00.000Z
250,Project name 250,2157,Baby food,Presales,2020-09-16T05:00:00.000Z,2020-09-22T05:00:00.000Z
251,Project name 251,2253,Snack foods,Presales,2020-10-15T05:00:00.000Z,2021-03-12T05:00:00.000Z
252,Project name 252,4470,Cosmetics,Closed,2019-11-29T05:00:00.000Z,2020-06-24T05:00:00.000Z
253,Project name 253,4830,Snack foods,Presales,2020-05-31T05:00:00.000Z,2020-11-26T05:00:00.000Z
